"","Acroperla sp1 FW_014_04","Amphipoda sp1 FW_014_04","Aoteapsyche sp1 FW_014_04","Aphrophila noevaezelandiae","Archichauliodes diversus","Austroclima jollyae","Austroperla cyrene","Austrosimulium australense","Ceratopogonid sp1 FW_014_04","Coloburiscus humeralis","Costachorema xanthoptera","Cricotopus I","Cricotopus II","Deleatidium sp1 FW_014_04","Eriopterini sp1 FW_014_04","Eukiefiriella","Galaxias sp1 FW_014_04","Helicopsyche albescens","Hudsonema amabilis","Hydora nitida larva","Hydrobiosid sp1 FW_014_04","Hydrobiosis parumbripennis","Larsia I","Maoridiamesea","Megaleptoperla diminuta","Naonella","Nesameletus ornatus","Oligochaeta type I","Oligochaeta type II","Olinga feredayii","Orchymontia sp1 FW_014_04","Orthoclad sp1 FW_014_04","Oxyethira albiceps","Philorheithrus agilis","Pirara","Podaena sp1 FW_014_04","Podonomus","Polypedellum","Polyplectropus puerilis","Potamopyrgus antipodarum","Psilochorema bidens","Pycnocentria sp1 FW_014_04","Pycnocentrodes evecta","Scirtid sp1 FW_014_04","Scirtid sp2 FW_014_04","Stenoperla prasinia","Tanytarsini","Tiphobiosis sp1 FW_014_04","Zelandoperla sp1 FW_014_04"
"Rhopalodia novae zelandiae",0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0
"Scirtid sp1 FW_014_04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spirogyra",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Stenoperla prasinia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Surirella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Surirella tenera sp1 FW_014_04sp",1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Synedra rumpens",0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Synedra ulna",1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0
"Tabellaria flocculosa",1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0
"Terrestrial invertebrate",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"Ulothrix",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zelandoperla sp1 FW_014_04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
